NÚMERO DE TICKET;ITEM;IDESTILO;ESTILO;FECHA DE VENTA;CANTIDAD;IDTAMAÑO;TAMAÑO;PRECIO DE LISTA;PRECIO DE VENTA;COSTO UNITARIO;TIPO DE CALZADO;IDLOCAL;LOCAL;TIPO DE LOCAL;IDCIUDAD;CIUDAD;ESTADO;PAÍS;MONTO VENDIDO;COSTO DE VENTA;UTILIDAD
10047;1;D005;SERENA STORM;02/01/2020;1;25M;25 Y MEDIO; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
10068;1;D003;MERLE POINT;02/01/2020;1;19N;19 NORMAL; $1.357,00 ; $1.357,00 ; $442,00 ;DAMA;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.357,00 ; $442,00 ; $915,00 
10106;1;C004;MIRIDIA;02/01/2020;4;26M;26 Y MEDIO; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $4.192,00 ; $1.568,00 ; $2.624,00 
10108;1;C002;CONFORT MILAN;02/01/2020;1;20N;20 NORMAL; $1.844,00 ; $1.844,00 ; $420,00 ;CABALLERO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.844,00 ; $420,00 ; $1.424,00 
10111;1;U002;MINIMAL ECHO;03/01/2020;4;20N;20 NORMAL; $1.069,00 ; $1.026,00 ; $460,00 ;UNISEX;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $4.104,00 ; $1.840,00 ; $2.264,00 
10174;1;U002;MINIMAL ECHO;03/01/2020;1;23N;23 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
10178;1;C003;CONFORT NEW YORK;03/01/2020;1;19M;19 Y MEDIO; $1.681,00 ; $1.681,00 ; $396,00 ;CABALLERO;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.681,00 ; $396,00 ; $1.285,00 
10208;1;D007;REFLEXION EDGE;03/01/2020;1;22N;22 NORMAL; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
10243;1;C004;MIRIDIA;03/01/2020;1;29M;29 Y MEDIO; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
10256;1;D001;SPLEND MARNA;03/01/2020;1;23N;23 NORMAL; $1.272,00 ; $1.272,00 ; $397,00 ;DAMA;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.272,00 ; $397,00 ; $875,00 
10258;1;D007;REFLEXION EDGE;03/01/2020;1;18M;18 Y MEDIO; $947,00 ; $947,00 ; $387,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $947,00 ; $387,00 ; $560,00 
10262;1;U001;RELAX UNIVERSE;03/01/2020;1;28M;28 Y MEDIO; $801,00 ; $801,00 ; $424,00 ;UNISEX;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $801,00 ; $424,00 ; $377,00 
10267;1;D005;SERENA STORM;04/01/2020;1;20N;20 NORMAL; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
10307;2;D005;SERENA STORM;04/01/2020;1;24N;24 NORMAL; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
10307;1;D006;COLORFUL SPRING;04/01/2020;1;21N;21 NORMAL; $1.240,00 ; $1.240,00 ; $380,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.240,00 ; $380,00 ; $860,00 
10319;1;D007;REFLEXION EDGE;04/01/2020;1;20N;20 NORMAL; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
10325;1;U001;RELAX UNIVERSE;04/01/2020;1;18N;18 NORMAL; $900,00 ; $900,00 ; $424,00 ;UNISEX;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $900,00 ; $424,00 ; $476,00 
10332;1;D004;PANAMA;04/01/2020;1;25M;25 Y MEDIO; $1.830,00 ; $1.830,00 ; $421,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.830,00 ; $421,00 ; $1.409,00 
10358;1;D003;MERLE POINT;04/01/2020;1;21M;21 Y MEDIO; $1.212,00 ; $1.151,00 ; $442,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.151,00 ; $442,00 ; $709,00 
10371;1;S001;RAPTOR;04/01/2020;1;21M;21 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
10378;1;D001;SPLEND MARNA;04/01/2020;1;21N;21 NORMAL; $1.361,00 ; $1.361,00 ; $397,00 ;DAMA;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.361,00 ; $397,00 ; $964,00 
10379;1;C003;CONFORT NEW YORK;04/01/2020;1;20M;20 Y MEDIO; $1.866,00 ; $1.866,00 ; $396,00 ;CABALLERO;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.866,00 ; $396,00 ; $1.470,00 
10384;1;U001;RELAX UNIVERSE;04/01/2020;1;30N;30 NORMAL; $900,00 ; $900,00 ; $424,00 ;UNISEX;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $900,00 ; $424,00 ; $476,00 
10389;1;S002;CITUAN;04/01/2020;1;26N;26 NORMAL; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $2.030,00 ; $394,00 ; $1.636,00 
10393;1;D005;SERENA STORM;05/01/2020;1;25N;25 NORMAL; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
10416;1;C002;CONFORT MILAN;05/01/2020;1;22M;22 Y MEDIO; $1.844,00 ; $1.844,00 ; $420,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.844,00 ; $420,00 ; $1.424,00 
10419;1;C002;CONFORT MILAN;05/01/2020;1;25M;25 Y MEDIO; $1.660,00 ; $1.660,00 ; $420,00 ;CABALLERO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.660,00 ; $420,00 ; $1.240,00 
10434;1;D006;COLORFUL SPRING;05/01/2020;1;26N;26 NORMAL; $1.440,00 ; $1.440,00 ; $380,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.440,00 ; $380,00 ; $1.060,00 
10455;2;C001;COMFORT VERONA;05/01/2020;1;27M;27 Y MEDIO; $1.507,00 ; $1.507,00 ; $393,00 ;CABALLERO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.507,00 ; $393,00 ; $1.114,00 
10455;1;U001;RELAX UNIVERSE;05/01/2020;1;22N;22 NORMAL; $900,00 ; $900,00 ; $424,00 ;UNISEX;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $900,00 ; $424,00 ; $476,00 
10477;1;D003;MERLE POINT;05/01/2020;1;24M;24 Y MEDIO; $1.212,00 ; $1.212,00 ; $442,00 ;DAMA;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.212,00 ; $442,00 ; $770,00 
10504;1;S001;RAPTOR;06/01/2020;1;19N;19 NORMAL; $1.621,00 ; $1.621,00 ; $434,00 ;DEPORTIVO;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.621,00 ; $434,00 ; $1.187,00 
10519;1;D001;SPLEND MARNA;06/01/2020;1;18N;18 NORMAL; $1.361,00 ; $1.361,00 ; $397,00 ;DAMA;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.361,00 ; $397,00 ; $964,00 
10540;1;S003;ULTRA-ALIVE;06/01/2020;1;28M;28 Y MEDIO; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
10551;1;D001;SPLEND MARNA;06/01/2020;1;25N;25 NORMAL; $1.272,00 ; $1.272,00 ; $397,00 ;DAMA;15;CENTRO MAGNO;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.272,00 ; $397,00 ; $875,00 
10564;1;D005;SERENA STORM;06/01/2020;1;26M;26 Y MEDIO; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
10569;1;S003;ULTRA-ALIVE;07/01/2020;1;21N;21 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
10620;1;D004;PANAMA;07/01/2020;1;26M;26 Y MEDIO; $1.448,00 ; $1.448,00 ; $421,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.448,00 ; $421,00 ; $1.027,00 
10628;2;C003;CONFORT NEW YORK;07/01/2020;1;20M;20 Y MEDIO; $1.866,00 ; $1.866,00 ; $396,00 ;CABALLERO;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.866,00 ; $396,00 ; $1.470,00 
10628;1;C004;MIRIDIA;07/01/2020;4;20M;20 Y MEDIO; $1.153,00 ; $1.153,00 ; $392,00 ;CABALLERO;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $4.612,00 ; $1.568,00 ; $3.044,00 
10633;1;C001;COMFORT VERONA;07/01/2020;1;22M;22 Y MEDIO; $1.311,00 ; $1.219,00 ; $393,00 ;CABALLERO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.219,00 ; $393,00 ; $826,00 
10646;1;D004;PANAMA;07/01/2020;1;23M;23 Y MEDIO; $1.830,00 ; $1.830,00 ; $421,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.830,00 ; $421,00 ; $1.409,00 
10647;1;S003;ULTRA-ALIVE;08/01/2020;1;19M;19 Y MEDIO; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
10649;1;S002;CITUAN;08/01/2020;1;28M;28 Y MEDIO; $2.030,00 ; $1.827,00 ; $394,00 ;DEPORTIVO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.827,00 ; $394,00 ; $1.433,00 
10657;1;S002;CITUAN;08/01/2020;1;20M;20 Y MEDIO; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.862,00 ; $394,00 ; $1.468,00 
10665;1;S003;ULTRA-ALIVE;08/01/2020;1;26N;26 NORMAL; $1.999,00 ; $1.999,00 ; $388,00 ;DEPORTIVO;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.999,00 ; $388,00 ; $1.611,00 
10676;1;D002;TANGERINE;08/01/2020;1;26N;26 NORMAL; $1.459,00 ; $1.459,00 ; $386,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.459,00 ; $386,00 ; $1.073,00 
10685;1;D002;TANGERINE;08/01/2020;1;24N;24 NORMAL; $1.459,00 ; $1.459,00 ; $386,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.459,00 ; $386,00 ; $1.073,00 
10746;1;S002;CITUAN;08/01/2020;1;26M;26 Y MEDIO; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $2.030,00 ; $394,00 ; $1.636,00 
10755;1;U001;RELAX UNIVERSE;08/01/2020;3;19M;19 Y MEDIO; $900,00 ; $900,00 ; $424,00 ;UNISEX;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $2.700,00 ; $1.272,00 ; $1.428,00 
10776;1;D004;PANAMA;08/01/2020;1;21M;21 Y MEDIO; $1.830,00 ; $1.830,00 ; $421,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.830,00 ; $421,00 ; $1.409,00 
10777;1;D006;COLORFUL SPRING;08/01/2020;1;22N;22 NORMAL; $1.333,00 ; $1.333,00 ; $380,00 ;DAMA;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.333,00 ; $380,00 ; $953,00 
10784;1;C004;MIRIDIA;08/01/2020;1;22M;22 Y MEDIO; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
10793;1;S002;CITUAN;08/01/2020;1;25N;25 NORMAL; $1.583,00 ; $1.583,00 ; $394,00 ;DEPORTIVO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.583,00 ; $394,00 ; $1.189,00 
10800;1;D006;COLORFUL SPRING;08/01/2020;1;25N;25 NORMAL; $1.440,00 ; $1.440,00 ; $380,00 ;DAMA;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.440,00 ; $380,00 ; $1.060,00 
10812;1;C002;CONFORT MILAN;09/01/2020;1;25N;25 NORMAL; $1.660,00 ; $1.660,00 ; $420,00 ;CABALLERO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.660,00 ; $420,00 ; $1.240,00 
10851;1;S001;RAPTOR;09/01/2020;1;26M;26 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
10851;2;S001;RAPTOR;09/01/2020;1;29M;29 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
10880;1;D005;SERENA STORM;09/01/2020;1;22M;22 Y MEDIO; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
10885;1;S003;ULTRA-ALIVE;09/01/2020;1;19M;19 Y MEDIO; $1.999,00 ; $1.839,00 ; $388,00 ;DEPORTIVO;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.839,00 ; $388,00 ; $1.451,00 
10893;1;C001;COMFORT VERONA;09/01/2020;1;21N;21 NORMAL; $1.296,00 ; $1.296,00 ; $393,00 ;CABALLERO;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.296,00 ; $393,00 ; $903,00 
10903;1;U001;RELAX UNIVERSE;09/01/2020;4;25N;25 NORMAL; $900,00 ; $900,00 ; $424,00 ;UNISEX;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $3.600,00 ; $1.696,00 ; $1.904,00 
10910;1;S001;RAPTOR;09/01/2020;1;30M;30 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
10921;1;D004;PANAMA;09/01/2020;1;20M;20 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
10936;1;D004;PANAMA;10/01/2020;1;25M;25 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
10945;1;D005;SERENA STORM;10/01/2020;1;23M;23 Y MEDIO; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
10956;1;S003;ULTRA-ALIVE;10/01/2020;1;18N;18 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
10966;1;U002;MINIMAL ECHO;10/01/2020;1;24N;24 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
10971;1;D007;REFLEXION EDGE;10/01/2020;1;24M;24 Y MEDIO; $947,00 ; $947,00 ; $387,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $947,00 ; $387,00 ; $560,00 
10990;1;D001;SPLEND MARNA;11/01/2020;1;23M;23 Y MEDIO; $1.272,00 ; $1.272,00 ; $397,00 ;DAMA;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.272,00 ; $397,00 ; $875,00 
10990;2;S003;ULTRA-ALIVE;11/01/2020;1;26N;26 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
11012;1;C002;CONFORT MILAN;11/01/2020;1;20M;20 Y MEDIO; $1.844,00 ; $1.844,00 ; $420,00 ;CABALLERO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.844,00 ; $420,00 ; $1.424,00 
11016;1;D006;COLORFUL SPRING;11/01/2020;1;24M;24 Y MEDIO; $1.333,00 ; $1.333,00 ; $380,00 ;DAMA;15;CENTRO MAGNO;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.333,00 ; $380,00 ; $953,00 
11031;1;C001;COMFORT VERONA;11/01/2020;1;22M;22 Y MEDIO; $1.311,00 ; $1.311,00 ; $393,00 ;CABALLERO;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.311,00 ; $393,00 ; $918,00 
11032;1;D007;REFLEXION EDGE;11/01/2020;1;21N;21 NORMAL; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
11068;1;S002;CITUAN;11/01/2020;1;24N;24 NORMAL; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.862,00 ; $394,00 ; $1.468,00 
11076;1;S001;RAPTOR;12/01/2020;1;20M;20 Y MEDIO; $1.524,00 ; $1.524,00 ; $434,00 ;DEPORTIVO;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.524,00 ; $434,00 ; $1.090,00 
11086;1;D004;PANAMA;12/01/2020;1;25M;25 Y MEDIO; $1.830,00 ; $1.830,00 ; $421,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.830,00 ; $421,00 ; $1.409,00 
11092;1;C004;MIRIDIA;12/01/2020;1;21N;21 NORMAL; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
11101;1;U002;MINIMAL ECHO;12/01/2020;1;24M;24 Y MEDIO; $1.144,00 ; $1.144,00 ; $460,00 ;UNISEX;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.144,00 ; $460,00 ; $684,00 
11129;1;C001;COMFORT VERONA;12/01/2020;1;22M;22 Y MEDIO; $1.311,00 ; $1.311,00 ; $393,00 ;CABALLERO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.311,00 ; $393,00 ; $918,00 
11142;1;S001;RAPTOR;12/01/2020;1;26M;26 Y MEDIO; $1.621,00 ; $1.621,00 ; $434,00 ;DEPORTIVO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.621,00 ; $434,00 ; $1.187,00 
11152;1;D003;MERLE POINT;13/01/2020;4;25N;25 NORMAL; $1.054,00 ; $1.054,00 ; $442,00 ;DAMA;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $4.216,00 ; $1.768,00 ; $2.448,00 
11186;1;D004;PANAMA;13/01/2020;1;21M;21 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
